Title,Year,Score,Rank,Category
Running Scared,1986,61,1,
Equilibrium,2002,40,2,
Hero,2002,94,3,
Road House,1989,41,4,
Unstoppable,2010,87,5,
Shaft,1971,88,6,
The Villainess,2017,85,7,
Highlander,1986,71,8,
Die Hard 2,1990,70,9,
National Treasure,2004,46,10,
The Protector,2005,53,11,
Revenge,2017,93,12,
El Mariachi,1992,91,13,
A Touch of Zen,1971,97,14,
Top Gun,1986,57,15,
Con Air,1997,58,16,
The Expendables 2,2012,67,17,
The Mummy,1999,60,18,
Mr. & Mrs. Smith,2005,60,19,
Rush Hour,1998,62,20,
The Equalizer,2014,61,21,
Captain America: Civil War,2016,91,22,
Air Force One,1997,78,23,
Bloodsport,1988,46,24,
Blade,1998,58,25,
Bad Boys,1995,43,26,
Die Hard With a Vengeance,1995,58,27,
The Running Man,1987,66,28,
Code of Silence,1985,70,29,
Shoot 'Em Up,2007,67,30,
Crank,2006,62,31,
Machete,2010,70,32,
Drive,2011,93,33,
Batman,1989,76,34,
Under Siege,1992,79,35,
Independence Day,1996,68,36,
Bullitt,1968,98,37,
Wanted,2008,71,38,
Superman: The Movie,1978,94,39,
Ronin,1998,70,40,
They Live,1988,86,41,
Cliffhanger,1993,68,42,
Marvel's the Avengers,2012,91,43,
Hot Fuzz,2007,91,44,
The Warriors,1979,88,45,
Starship Troopers,1997,71,46,
Elite Squad 2,2010,91,47,
Point Break,1991,70,48,
The Long Kiss Goodnight,1996,68,49,
The Guest,2014,92,50,
Taken,2008,59,51,
300,2006,61,52,
True Lies,1994,70,53,
Demolition Man,1993,62,54,
Hardcore Henry,2015,51,55,
Police Story,1985,93,56,
Brotherhood of the Wolf,2001,73,57,
Kingsman: The Secret Service,2014,75,58,
The Fifth Element,1997,71,59,
Big Trouble in Little China,1986,74,60,
Atomic Blonde,2017,79,61,
Rumble in the Bronx,1995,80,62,
District B13,2004,80,63,
Beverly Hills Cop,1984,83,64,
Ong-Bak: The Thai Warrior,2003,85,65,
Collateral,2004,86,66,
Iron Monkey,1993,91,67,
Escape From New York,1981,88,68,
Battle Royale,2000,88,69,
Spider-Man 2,2004,93,70,
13 Assassins,2010,95,71,
Full Contact,1992,89,72,
Indiana Jones and the Last Crusade,1989,84,73,
Kung Fu Hustle,2004,91,74,
A Better Tomorrow,1986,92,75,
Iron Man,2008,94,76,
The Night Comes for Us,2018,91,77,
Logan,2017,94,78,
007: Goldfinger,1964,99,79,
Assault on Precinct 13,1976,96,80,
Wonder Woman,2017,93,81,
The Chinese Connection,1972,83,82,
Captain America: The Winter Soldier,2014,90,83,
Oldboy,2003,82,84,
The French Connection,1971,96,85,
Furious 7,2015,81,86,
La Femme Nikita,1990,89,87,
Supercop,1992,93,88,
Dirty Harry,1971,89,89,
Edge of Tomorrow,2014,91,90,
X2,2003,85,91,
The Fugitive,1993,96,92,
Black Panther,2018,96,93,
Inception,2010,87,94,
Braveheart,1995,76,95,
Minority Report,2002,89,96,
Avengers: Endgame,2019,94,97,
Dredd,2012,80,98,
The Bourne Identity,2002,84,99,
Ip Man,2008,86,100,
Face/Off,1997,92,101,
To Live and Die in L.A.,1985,88,102,
The Dark Knight,2008,94,103,
Mission: Impossible - Ghost Protocol,2011,93,104,
Fast Five,2011,78,105,
Lethal Weapon,1987,80,106,
The Rock,1996,67,107,
RoboCop,1987,92,108,
John Wick: Chapter 2,2017,89,109,
Casino Royale,2006,94,110,
Baby Driver,2017,92,111,
Fist of Legend,1994,100,112,
The Killer,1989,95,113,
The Raid 2,2014,82,114,
Enter the Dragon,1973,89,115,
Commando,1985,67,116,
First Blood,1982,86,117,
Mission: Impossible Rogue Nation,2015,94,118,
The Terminator,1984,100,119,
Gladiator,2000,80,120,
Kill Bill: Vol. 1,2003,85,121,
The Professional,1994,74,122,
Speed,1994,95,123,
Drunken Master II,1994,84,124,
John Wick,2014,86,125,
"Crouching Tiger, Hidden Dragon",2000,98,126,
Predator,1987,80,127,
The Bourne Ultimatum,2007,92,128,
Total Recall,1990,82,129,
Mad Max 2: The Road Warrior,1981,93,130,
Heat,1995,89,131,
The Raid: Redemption,2011,87,132,
Mission: Impossible - Fallout,2018,97,133,
Raiders of the Lost Ark,1981,93,134,
Aliens,1986,98,135,
Hard-Boiled,1992,92,136,
The Matrix,1999,83,137,
Terminator 2: Judgment Day,1991,91,138,
Die Hard,1988,94,139,
Mad Max: Fury Road,2015,97,140,
