,MXN,BRL,HUF,KRW,ZAR,NZD,AED,USD
2023-08-01,18.576525,5.27651,388.822659,1419.324284,20.116669,1.792467,4.043099,1.100764
2023-08-02,18.621735,5.266042,388.515892,1418.719694,20.199719,1.798264,4.019686,1.094379
2023-08-03,18.976832,5.38579,393.213391,1420.828524,20.428761,1.800641,4.022484,1.09514
2023-08-04,18.828827,5.372864,390.280754,1437.687446,20.361787,1.827536,4.049473,1.102487
2023-08-05,18.828827,5.372864,390.280754,1437.687446,20.361787,1.827536,4.04948,1.102487
2023-08-06,18.795998,5.376777,389.078886,1434.771606,20.303664,1.803793,4.041187,1.100243
2023-08-07,18.792449,5.391924,388.189093,1439.277378,20.588219,1.80194,4.041356,1.10028
2023-08-08,18.762661,5.369829,389.884996,1443.270022,20.736414,1.809474,4.025145,1.09586
2023-08-09,18.730099,5.382426,388.736138,1443.129083,20.842096,1.810959,4.031967,1.097737
2023-08-10,18.759206,5.37322,385.390113,1448.068061,20.683357,1.826366,4.03292,1.09814
2023-08-11,18.652371,5.38086,383.750479,1458.828859,20.7789,1.831857,4.026997,1.096366
2023-08-12,18.652371,5.380648,383.750479,1458.828859,20.7789,1.831857,4.026998,1.096366
2023-08-13,18.601217,5.376316,382.710416,1456.239812,20.726252,1.828861,4.019803,1.094415
2023-08-14,18.610572,5.414642,384.357389,1457.118854,20.813699,1.825926,4.006769,1.09087
2023-08-15,18.679821,5.435319,388.040333,1460.115894,20.884098,1.83047,4.005053,1.0904
2023-08-16,18.646463,5.424707,386.904778,1461.204979,20.86406,1.833569,3.994315,1.087465
2023-08-17,18.595758,5.412205,384.94648,1456.994037,20.733695,1.835214,3.994153,1.087447
2023-08-18,18.573638,5.411892,382.881986,1459.227344,20.755591,1.838645,3.999374,1.088845
2023-08-19,18.573638,5.405087,382.881986,1459.227344,20.755591,1.838645,3.999374,1.088845
2023-08-20,18.532706,5.403285,382.61466,1457.474689,20.643714,1.835071,3.994528,1.08753
2023-08-21,18.556818,5.427402,382.921595,1461.132789,20.678872,1.838,4.002811,1.089795
2023-08-22,18.34032,5.356661,383.022865,1454.181208,20.39682,1.825941,3.983921,1.084652
2023-08-23,18.247413,5.276875,382.566718,1443.823275,20.089098,1.818825,3.990888,1.086537
2023-08-24,18.177314,5.271699,383.547426,1433.652583,20.329176,1.824376,3.966378,1.079867
2023-08-25,18.085416,5.260776,381.777656,1429.840796,20.102842,1.828944,3.96483,1.079443
2023-08-26,18.085416,5.272487,381.777656,1429.840796,20.102842,1.828944,3.964837,1.079443
2023-08-27,18.067747,5.26027,381.733862,1430.202713,20.095238,1.826809,3.965834,1.079716
2023-08-28,18.174467,5.276369,383.551497,1433.077367,20.123508,1.832613,3.976167,1.082532
2023-08-29,18.261624,5.27447,381.144631,1436.946572,20.089346,1.821505,3.992178,1.086892
2023-08-30,18.319083,5.345026,379.677371,1447.263671,20.44302,1.836317,4.014828,1.093075
2023-08-31,18.435162,5.373406,381.109196,1437.491376,20.45788,1.814404,3.982918,1.084375
2023-09-01,18.451504,5.341703,384.90641,1423.345072,20.344079,1.812558,3.965318,1.079559
2023-09-02,18.451504,5.341123,384.90641,1423.345072,20.344079,1.812558,3.965333,1.079559
2023-09-03,18.400118,5.363864,384.3967,1420.715992,20.292503,1.813448,3.957964,1.077557
2023-09-04,18.540487,5.329129,382.395082,1423.5071,20.649841,1.817922,3.964162,1.079273
2023-09-05,18.657947,5.328118,387.624323,1428.581127,20.531408,1.822758,3.939084,1.072444
2023-09-06,18.867347,5.338848,389.39244,1431.05965,20.608149,1.826746,3.938316,1.07238
2023-09-07,18.81922,5.324746,387.279108,1428.126493,20.505662,1.819599,3.929108,1.069742
2023-09-08,18.849013,5.341548,385.967786,1431.428188,20.485675,1.819568,3.934486,1.071179
2023-09-09,18.849013,5.341548,385.967786,1431.428188,20.485675,1.819568,3.934486,1.071179
2023-09-10,18.81207,5.341584,385.768973,1432.052081,20.446016,1.816101,3.936205,1.071639
2023-09-11,18.578445,5.300052,383.932798,1421.873785,20.326068,1.816795,3.948083,1.074865
2023-09-12,18.522083,5.320566,385.128889,1424.367841,20.357771,1.819623,3.949588,1.075275
2023-09-13,18.4015,5.277061,383.890938,1428.247524,20.20009,1.813007,3.942019,1.073249
2023-09-14,18.196417,5.179151,384.387254,1412.453997,20.246524,1.801706,3.906393,1.063547
2023-09-15,18.229511,5.194239,383.935117,1418.93965,20.246416,1.808753,3.920332,1.067345
2023-09-16,18.229511,5.194812,383.935117,1418.93965,20.246416,1.808753,3.920403,1.067345
2023-09-17,18.202122,5.193699,383.522229,1418.22216,20.248596,1.806653,3.918321,1.066798
2023-09-18,18.317678,5.191314,383.579866,1423.847088,20.337446,1.805866,3.927159,1.069227
2023-09-19,18.230803,5.199051,383.800495,1419.481968,20.20909,1.79494,3.923241,1.068159
2023-09-20,18.208231,5.198164,384.353351,1420.184362,20.094157,1.797816,3.912227,1.065133
2023-09-21,18.364912,5.262744,387.962634,1430.441966,20.219192,1.797445,3.915792,1.06611
2023-09-22,18.3702,5.267491,390.27824,1425.382256,20.013907,1.791169,3.919791,1.067178
2023-09-23,18.3702,5.249756,390.27824,1425.382256,20.013907,1.791169,3.919791,1.067178
2023-09-24,18.302289,5.25518,389.373392,1422.200563,19.959266,1.787614,3.910854,1.064792
2023-09-25,18.428349,5.263701,390.523921,1418.660545,19.891966,1.775066,3.89017,1.059137
2023-09-26,18.546322,5.271597,390.849711,1431.397782,20.155577,1.777185,3.882002,1.05692
2023-09-27,18.583257,5.298334,392.598544,1422.168808,20.177107,1.775768,3.858377,1.050486
2023-09-28,18.528111,5.31734,391.925275,1424.686157,20.054538,1.771042,3.879497,1.056223
2023-09-29,18.440428,5.328057,390.036827,1432.272394,20.032827,1.76588,3.888444,1.058645
2023-09-30,18.440428,5.340073,390.036827,1432.272394,20.032827,1.76588,3.888445,1.058645
2023-10-01,18.391592,5.328577,389.600188,1429.187236,19.959011,1.761966,3.880039,1.056357
2023-10-02,18.526577,5.306214,388.90371,1420.124797,20.144181,1.763957,3.849402,1.048031
2023-10-03,18.872732,5.411024,389.812378,1424.077554,20.222087,1.770803,3.845909,1.047066
2023-10-04,18.904686,5.417327,387.211641,1420.449237,20.314151,1.775321,3.85913,1.050663
2023-10-05,19.280743,5.448685,387.662397,1420.06513,20.595688,1.767756,3.873648,1.054618
2023-10-06,19.252765,5.459376,387.644965,1425.085539,20.481711,1.771477,3.893613,1.060051
2023-10-07,19.252765,5.452779,387.644965,1425.085539,20.481711,1.771477,3.893613,1.060051
2023-10-08,19.276104,5.438694,386.891681,1420.49258,20.456818,1.769255,3.881037,1.056631
